ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
Organic Cumin,organic cumin,370,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,360,365,363,370,316,370,360,359,362,352,365,365,361,10,18,7,0,54,0,10,11,8,18,5,5,9
Organic Cumin Powder,organic cumin powder,39,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,39,35,38,39,38,39,35,37,39,34,35,37,39,0,5,1,0,1,0,4,2,0,5,4,2,0
ORGANIC CUMIN SEED,organic cumin seed,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,15,16,16,16,16,16,16,16,16,0,0,0,0,1,0,0,0,0,0,0,0,0
Organic cumin seeds (jeera),organic cumin seeds,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,13,14,13,13,14,14,14,14,14,0,0,0,0,1,0,1,1,0,0,0,0,0
Organic Dandelion,organic dandelion,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,17,17,16,17,13,15,16,17,17,17,17,0,0,0,0,1,0,4,2,1,0,0,0,0
organic dandelion leaf,organic dandelion leaf,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,14,11,14,14,14,14,0,0,0,0,0,0,0,0,3,0,0,0,0
Organic Dandelion Root,organic dandelion root,65,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,65,65,65,65,65,65,65,49,60,65,65,65,65,0,0,0,0,0,0,0,16,5,0,0,0,0
Organic Dandelion Root Extract,organic dandelion root extract,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dark Brown Sugar,organic dark brown sugar,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,14,11,17,16,17,14,10,13,8,14,14,13,2,9,6,0,1,0,3,7,4,9,3,3,4
Organic Dark Cherry Flavor,organic dark cherry flavor,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dark Red Kidney Beans,organic dark red kidney beans,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,19,19,19,19,19,18,19,18,19,19,19,18,0,0,0,0,0,0,1,0,1,0,0,0,1
Organic Dark Roast Coffee,organic dark roast coffee,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,10,12,12,12,12,12,0,0,0,0,0,0,0,2,0,0,0,0,0
Organic Dark Sweet Cherries (Pitted),organic dark sweet cherries,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Date,organic date,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,18,18,19,18,19,19,13,19,18,18,18,19,0,1,1,0,1,0,0,6,0,1,1,1,0
"organic date syrup (organic dates, citric acid)",organic date syrup,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,22,23,22,19,23,23,22,6,23,22,23,23,23,1,1,1,4,0,0,1,17,0,1,0,0,0
Organic Dates,organic dates,266,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,262,259,249,224,241,266,248,100,247,246,259,259,246,4,20,17,42,25,0,18,166,19,20,7,7,20
Organic Degerminated Yellow Corn Meal,organic degerminated yellow corn meal,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,8,9,9,9,9,9,8,8,9,9,8,0,1,1,0,0,0,0,0,1,1,0,0,1
Organic Deglet Noor Dates,organic deglet noor dates,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,13,14,14,14,11,14,14,14,14,14,0,0,0,1,0,0,0,3,0,0,0,0,0
Organic Dehydrated Apples,organic dehydrated apples,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,16,17,17,17,17,17,16,17,16,16,16,17,0,1,0,0,0,0,0,1,0,1,1,1,0
ORGANIC DEHYDRATED BASIL,organic dehydrated basil,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dehydrated Garlic,organic dehydrated garlic,184,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,179,154,171,184,167,184,157,179,175,145,154,155,173,5,39,13,0,17,0,27,5,9,39,30,29,11
Organic Dehydrated Onion,organic dehydrated onion,137,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,134,115,127,137,133,137,124,137,131,104,115,115,131,3,33,10,0,4,0,13,0,6,33,22,22,6
Organic Dehydrated Onions,organic dehydrated onions,46,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,43,35,46,44,46,40,46,40,33,43,43,41,3,13,11,0,2,0,6,0,6,13,3,3,5
Organic Dehydrated Parsley,organic dehydrated parsley,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,26,23,29,31,30,31,27,31,7,23,23,25,7,5,8,2,0,1,0,4,0,24,8,8,6,24
Organic Dehydrated Red Bell Pepper,organic dehydrated red bell pepper,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,14,16,14,16,15,16,16,14,16,16,16,0,2,2,0,2,0,1,0,0,2,0,0,0
Organic Dehydrated Red Bell Peppers,organic dehydrated red bell peppers,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,11,15,15,14,15,11,15,15,11,11,11,15,0,4,0,0,1,0,4,0,0,4,4,4,0
"ORGANIC DEHYDRATED VEGETABLES (ORGANIC ONIONS, ORGANIC GARLIC)",organic dehydrated vegetables,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,11,12,12,12,12,12,12,12,12,0,0,0,0,1,0,0,0,0,0,0,0,0
Organic Dextrose,organic dextrose,104,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,96,92,70,102,103,104,97,102,89,59,92,92,90,8,45,34,2,1,0,7,2,15,45,12,12,14
Organic Diced Peaches,organic diced peaches,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
organic diced pears,organic diced pears,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Organic Diced Tomatoes (Organic Tomatoes, Organic Tomato Juice)",organic diced tomatoes,248,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,246,242,217,248,247,248,233,238,221,211,242,243,214,2,37,31,0,1,0,15,10,27,37,6,5,34
Organic Diced Tomatoes in Organic Tomato Juice,organic diced tomatoes in organic tomato juice,89,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,88,89,70,89,89,89,71,87,88,69,89,89,86,1,20,19,0,0,0,18,2,1,20,0,0,3
ORGANIC DICED TOMATOES IN TOMATO JUICE,organic diced tomatoes in tomato juice,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dill,organic dill,55,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,46,49,42,55,54,55,46,51,52,37,49,49,52,9,18,13,0,1,0,9,4,3,18,6,6,3
ORGANIC DILL OIL,organic dill oil,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dill Seed,organic dill seed,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,21,20,21,21,21,21,21,21,20,21,21,21,0,1,1,0,0,0,0,0,0,1,0,0,0
Organic Dill Weed,organic dill weed,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,33,35,30,35,32,35,33,33,35,29,35,35,35,2,6,5,0,3,0,2,2,0,6,0,0,0
Organic Distilled Vinegar,organic distilled vinegar,446,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,377,435,410,445,408,445,322,421,361,366,435,444,360,69,80,36,1,38,1,124,25,85,80,11,2,86
Organic Distilled White Vinegar,organic distilled white vinegar,219,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,170,198,194,217,200,219,130,212,146,139,198,206,144,49,80,25,2,19,0,89,7,73,80,21,13,75
Organic Dragon Fruit (Pitaya) Puree,organic dragon fruit puree,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,7,9,9,9,9,9,0,0,0,0,0,0,0,2,0,0,0,0,0
Organic Dried Apple,organic dried apple,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,17,17,15,17,17,16,15,17,17,17,15,0,0,0,0,2,0,0,1,2,0,0,0,2
"organic dried apples (organic apple flakes, organic apples)",organic dried apples,65,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,64,49,62,57,65,65,58,37,57,47,49,49,53,1,18,3,8,0,0,7,28,8,18,16,16,12
Organic Dried Apricots,organic dried apricots,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,14,16,17,17,17,12,17,14,17,17,17,0,3,3,1,0,0,0,5,0,3,0,0,0
Organic Dried Banana,organic dried banana,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,14,16,16,13,13,16,16,16,13,0,0,0,0,2,0,0,3,3,0,0,0,3
Organic Dried Bananas,organic dried bananas,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,26,24,20,17,26,21,17,18,24,26,26,16,2,2,2,6,9,0,5,9,8,2,0,0,10
Organic Dried Basil,organic dried basil,56,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,54,55,39,56,55,56,42,54,51,38,55,55,52,2,18,17,0,1,0,14,2,5,18,1,1,4
Organic Dried Cane Syrup,organic dried cane syrup,137,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,129,131,107,121,133,137,102,112,108,96,131,131,102,8,41,30,16,4,0,35,25,29,41,6,6,35
Organic Dried Chili,organic dried chili,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,8,9,9,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0
ORGANIC DRIED CILANTRO,organic dried cilantro,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,19,19,19,19,19,18,18,19,19,19,19,19,0,0,0,0,0,0,1,1,0,0,0,0,0
ORGANIC DRIED FIGS,organic dried figs,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dried Garlic,organic dried garlic,206,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,190,189,179,204,186,206,143,200,198,167,189,197,198,16,39,27,2,20,0,63,6,8,39,17,9,8
Organic Dried Green Bell Pepper,organic dried green bell pepper,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dried Mango,organic dried mango,34,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,34,34,33,33,33,34,33,28,33,33,34,34,32,0,1,1,1,1,0,1,6,1,1,0,0,2
ORGANIC DRIED MANGOES,organic dried mangoes,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Dried Onion,organic dried onion,150,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,137,139,135,148,138,150,107,142,147,119,139,142,146,13,31,15,2,12,0,43,8,3,31,11,8,4
Organic Dried Onions,organic dried onions,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,18,20,21,21,21,20,21,21,17,18,18,21,0,4,1,0,0,0,1,0,0,4,3,3,0
Organic Dried Oregano,organic dried oregano,62,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,59,61,45,62,61,62,45,61,58,45,61,61,59,3,17,17,0,1,0,17,1,4,17,1,1,3
Organic Dried Parsley,organic dried parsley,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,31,24,35,34,35,23,33,29,18,31,31,29,14,17,11,0,1,0,12,2,6,17,4,4,6
ORGANIC DRIED PINEAPPLE,organic dried pineapple,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,16,16,16,13,15,16,16,16,15,0,0,0,0,0,0,0,3,1,0,0,0,1
Organic Dried Red Chili Pepper,organic dried red chili pepper,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ORGANIC DRIED SEAWEED,organic dried seaweed,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,16,16,10,16,12,16,14,16,16,16,14,0,0,0,0,6,0,4,0,2,0,0,0,2
ORGANIC DRIED STRAWBERRIES,organic dried strawberries,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,9,6,10,10,10,9,9,9,6,9,9,9,0,4,4,0,0,0,1,1,1,4,1,1,1
Organic Dried Thyme,organic dried thyme,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,15,14,15,14,15,13,14,11,14,15,15,11,1,1,1,0,1,0,2,1,4,1,0,0,4
Organic Dutch Cocoa,organic dutch cocoa,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,16,10,13,17,17,17,14,14,9,16,16,17,5,8,7,4,0,0,0,3,3,8,1,1,0
ORGANIC DUTCH COCOA POWDER (PROCESSED WITH ALKALI),organic dutch cocoa powder,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,12,14,14,14,14,14,7,14,12,12,12,14,0,2,0,0,0,0,0,7,0,2,2,2,0
Organic Echinacea ( Aerial ),organic echinacea,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,9,10,10,10,10,7,8,10,9,9,9,10,0,1,0,0,0,0,3,2,0,1,1,1,0
Organic Echinacea Purpurea Juice,organic echinacea purpurea juice,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,6,8,8,8,8,8,0,0,0,0,0,0,0,2,0,0,0,0,0
Organic Echinacea Purpurea Root Dry Extract (2-8:1),organic echinacea purpurea root dry extract,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic elderberries,organic elderberries,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Elderberry,organic elderberry,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,28,27,28,27,28,28,27,27,26,28,28,28,0,2,1,0,1,0,0,1,1,2,0,0,0
Organic Elderberry Extract,organic elderberry extract,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,13,13,13,13,13,11,13,13,13,13,13,0,0,0,0,0,0,0,2,0,0,0,0,0
Organic Elderberry Juice,organic elderberry juice,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,21,21,21,21,21,21,19,21,21,21,21,21,0,0,0,0,0,0,0,2,0,0,0,0,0
Organic Elderberry Juice Concentrate,organic elderberry juice concentrate,50,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,50,49,42,50,50,50,50,47,50,42,49,50,50,0,8,8,0,0,0,0,3,0,8,1,0,0
ORGANIC ELDERBERRY JUICE FROM CONCENTRATE,organic elderberry juice from concentrate,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
organic elderflower,organic elderflower,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,8,9,9,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0
Organic Eleuthero (Eleutherococcus senticosus),organic eleuthero,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,13,13,13,13,8,12,12,10,13,13,13,0,3,0,0,0,0,5,1,1,3,0,0,0
Organic Eleuthero Extract,organic eleuthero extract,22,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,22,22,22,20,22,22,22,13,21,22,22,22,22,0,0,0,2,0,0,0,9,1,0,0,0,0
Organic Eleuthero Root,organic eleuthero root,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,11,11,12,12,12,12,0,0,0,0,0,0,0,1,1,0,0,0,0
"Organic Emblic ( Amla , Phyllanthus Emblica ) ( Fruit ) Extract",organic emblic extract,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,12,13,13,13,13,13,12,13,12,12,12,13,0,1,0,0,0,0,0,1,0,1,1,1,0
Organic Erythritol,organic erythritol,385,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,379,379,366,368,363,385,379,291,369,357,379,380,383,6,28,19,17,22,0,6,94,16,28,6,5,2
Organic Essences from Fruit Oils and Extracts,organic essences from fruit oils and extracts,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Eucalyptus Leaf,organic eucalyptus leaf,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic evaporated cane juice,organic evaporated cane juice,129,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,120,125,112,121,115,129,101,109,96,108,125,125,97,9,21,17,8,14,0,28,20,33,21,4,4,32
organic evaporated cane sugar,organic evaporated cane sugar,159,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,146,146,128,152,144,159,136,134,121,114,146,146,111,13,45,31,7,15,0,23,25,38,45,13,13,48
Organic Evaporated Cane Sugar Powder,organic evaporated cane sugar powder,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic evaporated cane syrup,organic evaporated cane syrup,34,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,33,29,31,33,31,34,16,23,27,27,29,29,26,1,7,3,1,3,0,18,11,7,7,5,5,8
Organic Expeller Pressed Canola Oil,organic expeller pressed canola oil,224,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,212,222,194,220,190,224,179,165,124,188,222,222,93,12,36,30,4,34,0,45,59,100,36,2,2,131
"Organic Expeller Pressed Oil (Sunflower Seed, Safflower Seed and/or Canola)",organic expeller pressed oil,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,7,8,8,8,8,8,7,7,8,8,7,0,1,1,0,0,0,0,0,1,1,0,0,1
Organic Expeller Pressed Palm Oil,organic expeller pressed palm oil,43,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,43,41,36,43,43,27,41,19,41,43,43,19,0,2,2,7,0,0,16,2,24,2,0,0,24
ORGANIC EXPELLER PRESSED SUNFLOWER OIL,organic expeller pressed sunflower oil,170,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,170,167,97,170,169,170,164,167,55,97,167,167,55,0,73,73,0,1,0,6,3,115,73,3,3,115
Organic Expeller Pressed Sunflower Oil and/or Organic Expeller Pressed Safflower Oil,organic expeller pressed sunflower oil and or organic expeller pressed safflower oil,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,12,13,12,13,13,13,12,12,13,13,12,0,1,1,0,1,0,0,0,1,1,0,0,1
Organic Expeller Pressed Sunflower Seed Oil,organic expeller pressed sunflower seed oil,47,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,36,44,27,40,46,47,29,44,29,26,44,47,29,11,21,20,7,1,0,18,3,18,21,3,0,18
"Organic Expeller-Pressed Vegetable Oil (Organic Sunflower Oil, Organic Canola Oil)",organic expeller pressed vegetable oil,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,37,38,24,38,37,38,27,37,33,24,38,38,33,1,14,14,0,1,0,11,1,5,14,0,0,5
organic extra virgin oil,organic extra virgin oil,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,10,9,11,10,11,10,10,10,8,10,11,10,2,3,2,0,1,0,1,1,1,3,1,0,1
Organic Extra Virgin Olive Oil,organic extra virgin olive oil,941,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,933,858,831,938,883,937,855,892,824,758,858,896,819,8,183,110,3,58,4,86,49,117,183,83,45,122
Organic Fair Trade Cane Sugar,organic fair trade cane sugar,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,40,41,40,41,41,41,40,40,40,40,41,41,40,1,1,1,0,0,0,1,1,1,1,0,0,1
Organic Fair Trade Evaporated Cane Juice,organic fair trade evaporated cane juice,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
organic fair trade turbinado sugar,organic fair trade turbinado sugar,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Fennel,organic fennel,94,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,94,89,91,94,93,94,90,90,91,86,89,89,91,0,8,3,0,1,0,4,4,3,8,5,5,3
Organic Fennel Fruit,organic fennel fruit,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
ORGANIC FENNEL SEED,organic fennel seed,93,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,93,76,90,93,93,93,92,86,89,76,76,76,92,0,17,3,0,0,0,1,7,4,17,17,17,1
Organic fennel seeds,organic fennel seeds,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,13,13,12,13,13,13,12,13,13,13,12,0,0,0,0,1,0,0,0,1,0,0,0,1
Organic Fenugreek,organic fenugreek,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,31,31,31,31,31,31,30,31,31,31,31,31,0,0,0,0,0,0,0,1,0,0,0,0,0
Organic Fenugreek Seed,organic fenugreek seed,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,12,12,12,12,12,12,11,11,11,11,12,0,1,0,0,0,0,0,0,1,1,1,1,0
Organic Fermented Turmeric (Root/Rhizome),organic fermented turmeric,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Fermented Turmeric Root,organic fermented turmeric root,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,7,9,9,9,9,9,9,9,6,7,7,9,0,3,0,0,0,0,0,0,0,3,2,2,0
Organic Field Mint Extract,organic field mint extract,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Fig Paste,organic fig paste,32,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,32,31,29,32,32,28,29,32,31,32,32,32,0,1,1,3,0,0,4,3,0,1,0,0,0
"ORGANIC FIGS (ORGANIC DRIED FIGS, WATER)",organic figs,61,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,60,61,54,60,53,61,52,28,56,53,61,61,39,1,8,7,1,8,0,9,33,5,8,0,0,22
organic fire roasted corn,organic fire roasted corn,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,8,8,10,10,10,10,9,10,8,8,8,10,0,2,2,0,0,0,0,1,0,2,2,2,0
"Organic Fire Roasted Diced Tomatoes (Organic Roasted Red Tomatoes, Organic Tomato Juice)",organic fire roasted diced tomatoes,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ORGANIC FIRE ROASTED GREEN BELL PEPPERS,organic fire roasted green bell peppers,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ORGANIC FIRE ROASTED ONIONS,organic fire roasted onions,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,6,7,7,7,7,7,7,6,7,7,7,0,1,1,0,0,0,0,0,0,1,0,0,0
Organic Fire Roasted Tomatoes,organic fire roasted tomatoes,27,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
